iter	Passed	Remaining
468	730	826
469	731	824
470	732	823
471	734	821
472	735	819
473	736	817
474	737	815
475	738	813
476	739	811
477	741	809
478	742	807
479	743	805
480	744	803
481	745	801
482	747	800
483	748	798
484	749	796
485	751	794
486	752	792
487	753	790
488	754	788
489	755	786
490	757	784
491	758	782
492	759	781
493	760	779
494	762	777
495	763	775
496	764	774
497	765	772
498	767	770
499	768	768
500	769	766
501	771	765
502	772	763
503	774	761
504	775	759
505	777	758
506	778	757
507	779	755
508	781	753
509	782	751
510	783	749
511	784	748
512	786	746
513	787	744
514	788	742
515	790	741
516	791	739
517	793	737
518	794	736
519	795	734
520	797	732
521	798	731
522	799	729
523	800	727
524	802	725
525	803	724
526	804	722
527	806	720
528	807	719
529	809	717
530	810	715
531	812	714
532	813	712
533	814	710
534	815	709
535	817	707
536	818	705
537	819	703
538	821	702
539	822	700
540	824	699
541	825	697
542	826	695
543	827	693
544	828	691
545	829	690
546	831	688
547	832	686
548	833	684
549	835	683
550	836	681
551	837	680
552	839	678
553	840	676
554	841	674
555	842	672
556	843	671
557	845	669
558	846	667
559	847	665
560	848	664
561	850	662
562	851	661
563	853	659
564	854	658
565	856	656
566	857	654
567	858	653
568	860	652
569	862	650
570	866	651
571	869	650
572	871	649
573	874	648
574	876	647
575	883	650
576	885	649
577	888	648
578	890	647
579	892	646
580	894	645
581	904	649
582	906	648
583	909	648
584	914	648
585	917	648
586	919	646
587	920	644
588	921	643
589	923	641
590	925	640
591	926	638
592	928	637
593	930	635
594	931	634
595	933	632
596	934	630
597	936	629
598	937	627
599	938	625
600	940	624
601	942	623
602	944	621
603	946	620
604	948	618
605	949	617
606	951	616
607	952	614
608	954	612
609	958	612
610	959	611
611	961	609
612	962	607
613	963	605
614	964	604
615	966	602
616	967	600
617	968	598
618	969	596
619	971	595
620	972	593
621	973	591
622	975	590
623	976	588
624	977	586
625	979	584
626	980	583
627	981	581
628	982	579
629	984	578
630	986	576
631	988	575
632	990	574
633	992	572
634	994	571
635	996	570
636	997	568
637	998	566
638	999	564
639	1000	562
640	1002	561
641	1003	559
642	1004	557
643	1006	556
644	1007	554
645	1008	552
646	1009	550
647	1011	549
648	1012	547
649	1013	545
650	1014	544
651	1016	542
652	1017	540
653	1018	539
654	1020	537
655	1021	535
656	1022	533
657	1024	532
658	1025	530
659	1026	528
660	1027	527
661	1029	525
662	1030	523
663	1032	522
664	1033	520
665	1035	519
666	1036	517
667	1037	515
668	1038	514
669	1040	512
670	1041	510
671	1042	508
672	1043	507
673	1045	505
674	1047	504
675	1048	502
676	1050	501
677	1051	499
678	1052	497
679	1054	496
680	1055	494
681	1056	492
682	1057	491
683	1059	489
684	1061	487
685	1062	486
686	1063	484
687	1065	483
688	1066	481
689	1067	479
690	1068	477
691	1070	476
692	1071	474
693	1072	472
694	1073	471
695	1075	469
696	1077	468
697	1078	466
698	1079	464
699	1081	463
700	1082	461
701	1083	460
702	1085	458
703	1086	456
704	1087	455
705	1088	453
706	1091	452
707	1092	450
708	1093	449
709	1095	447
710	1096	445
711	1097	444
712	1099	442
713	1100	440
714	1101	439
715	1103	437
716	1104	435
717	1106	434
718	1107	432
719	1109	431
720	1110	429
721	1111	428
722	1112	426
723	1114	424
724	1115	423
725	1116	421
726	1117	419
727	1118	418
728	1121	417
729	1123	415
730	1124	413
731	1125	412
732	1126	410
733	1127	408
734	1129	407
735	1130	405
736	1131	403
737	1133	402
738	1134	400
739	1136	399
740	1137	397
741	1139	396
742	1140	394
743	1141	392
744	1142	391
745	1144	389
746	1145	387
747	1146	386
748	1147	384
749	1148	382
750	1150	381
751	1151	379
752	1153	378
753	1154	376
754	1155	374
755	1156	373
756	1157	371
757	1159	370
758	1160	368
759	1161	366
760	1162	365
761	1164	363
762	1165	362
763	1167	360
764	1168	358
765	1169	357
766	1170	355
767	1171	354
768	1173	352
769	1174	350
770	1175	349
771	1176	347
772	1178	345
773	1179	344
774	1181	342
775	1182	341
776	1183	339
777	1185	338
778	1186	336
779	1187	334
780	1188	333
781	1190	331
782	1191	330
783	1192	328
784	1193	326
785	1195	325
786	1196	323
787	1198	322
788	1199	320
789	1200	319
790	1201	317
791	1202	315
792	1203	314
793	1205	312
794	1206	311
795	1207	309
796	1209	307
797	1210	306
798	1211	304
799	1213	303
800	1214	301
801	1215	300
802	1216	298
803	1217	296
804	1219	295
805	1220	293
806	1221	292
807	1222	290
808	1224	289
809	1225	287
810	1227	285
811	1228	284
812	1229	282
813	1230	281
814	1231	279
815	1233	278
816	1234	276
817	1235	274
818	1236	273
819	1237	271
820	1239	270
821	1240	268
822	1242	267
823	1243	265
824	1244	264
825	1245	262
826	1247	260
827	1248	259
828	1249	257
829	1250	256
830	1252	254
831	1253	253
832	1255	251
833	1256	250
834	1257	248
835	1258	246
836	1260	245
837	1261	243
838	1262	242
839	1263	240
840	1264	239
841	1266	237
842	1267	236
843	1268	234
844	1270	233
845	1271	231
846	1272	229
847	1273	228
848	1275	226
849	1276	225
850	1277	223
851	1278	222
852	1279	220
853	1281	219
854	1282	217
855	1283	215
856	1285	214
857	1286	212
858	1287	211
859	1289	209
860	1290	208
861	1291	206
862	1293	205
863	1294	203
864	1295	202
865	1296	200
866	1298	199
867	1299	197
868	1301	196
869	1302	194
870	1303	193
871	1304	191
872	1305	189
873	1307	188
874	1308	186
875	1309	185
876	1310	183
877	1311	182
878	1313	180
879	1314	179
880	1316	177
881	1317	176
882	1318	174
883	1319	173
884	1320	171
885	1322	170
886	1323	168
887	1324	167
888	1326	165
889	1327	164
890	1329	162
891	1330	161
892	1332	159
893	1333	158
894	1334	156
895	1336	155
896	1341	154
897	1344	152
898	1345	151
899	1347	149
900	1348	148
901	1350	146
902	1351	145
903	1355	143
904	1356	142
905	1360	141
906	1361	139
907	1363	138
908	1364	136
909	1365	135
910	1367	133
911	1369	132
912	1370	130
913	1371	129
914	1373	127
915	1375	126
916	1376	124
917	1378	123
918	1379	121
919	1381	120
920	1382	118
921	1384	117
922	1385	115
923	1386	114
924	1389	112
925	1390	111
926	1391	109
927	1393	108
928	1394	106
929	1396	105
930	1397	103
931	1398	102
932	1400	100
933	1401	99
934	1403	97
935	1404	96
936	1405	94
937	1407	93
938	1408	91
939	1409	89
940	1410	88
941	1412	86
942	1413	85
943	1414	83
944	1415	82
945	1417	80
946	1419	79
947	1420	77
948	1421	76
949	1423	74
950	1424	73
951	1425	71
952	1426	70
953	1427	68
954	1429	67
955	1430	65
956	1431	64
957	1433	62
958	1434	61
959	1435	59
960	1436	58
961	1438	56
962	1439	55
963	1440	53
964	1442	52
965	1443	50
966	1444	49
967	1445	47
968	1448	46
969	1449	44
970	1450	43
971	1452	41
972	1453	40
973	1455	38
974	1456	37
975	1458	35
976	1459	34
977	1461	32
978	1463	31
979	1464	29
980	1466	28
981	1467	26
982	1468	25
983	1469	23
984	1471	22
985	1473	20
986	1475	19
987	1476	17
988	1478	16
989	1479	14
990	1481	13
991	1482	11
992	1484	10
993	1485	8
994	1486	7
995	1488	5
996	1489	4
997	1491	2
998	1493	1
999	1494	0
